Epoch	Auc	Accuracy	loss
1	0.5030581345234091	0.7542318525335341	0.5726174334995449
2	0.49608142088926144	0.7593072868735882	0.5528858588077128
3	0.4962024968681831	0.7593072868735882	0.5528064821846783
4	0.4978905999607729	0.7593072868735882	0.5527899130247533
5	0.499828509226172	0.7593072868735882	0.5527705489657819
6	0.502101352451795	0.7593072868735882	0.5527464882470667
7	0.5047486169993343	0.7593072868735882	0.5527160307392478
8	0.5077911334065547	0.7593072868735882	0.5526768630370498
9	0.5112618059563865	0.7593072868735882	0.5526257562451065
10	0.5152367136875177	0.7593072868735882	0.5525582008995116
11	0.5198708236025893	0.7593072868735882	0.5524675822816789
12	0.5254188096222756	0.7593072868735882	0.5523440549150109
13	0.5322237114490562	0.7593072868735882	0.5521725937724113
14	0.5405498233716967	0.7593072868735882	0.5519296838901937
15	0.550369639576998	0.7593072868735882	0.5515780597925186
16	0.5611630772213999	0.7593072868735882	0.5510584097355604
17	0.5720973670308065	0.7593072868735882	0.5502782524563372
18	0.5827627664291618	0.7593072868735882	0.5490986653603613
19	0.5939306131025904	0.7593072868735882	0.5473098335787654
20	0.607789003096074	0.7593072868735882	0.5445462013594806
1	0.6221050340434182	0.7591340527889742	0.5391681347973645
2	0.6485586893914169	0.7591340527889742	0.5317886960692704
3	0.6787292365329906	0.7608429147240745	0.5197877916507423
4	0.7089509478571325	0.7675947768263462	0.5031099542975426
5	0.7350195413491876	0.7765012909337444	0.4855701862834394
6	0.7547440771602272	0.783438898898527	0.47177078668028116
7	0.7678711696326814	0.786791611716849	0.46275057177990675
8	0.7758190420937895	0.7889555510151012	0.4572241585701704
9	0.7804797225515673	0.7892434571019931	0.45384602900594473
10	0.7832340174910011	0.7898657057414046	0.4517259392887354
11	0.7849073482543558	0.7899214295001579	0.4503381112590432
12	0.7859787681166512	0.7898099819826513	0.4493850884027779
13	0.7866904230594564	0.7897821201032748	0.44869976583868265
14	0.7871906737869709	0.7898657057414046	0.44818654051050544
15	0.787548680369604	0.7900886007764177	0.4477887931279838
16	0.7878144807580669	0.7902000482939242	0.4474715772084892
17	0.7880157083187139	0.790265059345803	0.4472123780287802
18	0.7881728503293549	0.7903022085183052	0.4469961794093251
19	0.7883018098913881	0.7903765068633096	0.44681258918717504
20	0.7884056567236856	0.790450805208314	0.4466542904265225
21	0.788494274306819	0.7904043687426863	0.4465159303508699
22	0.7885698634511447	0.7904415179151885	0.44639357971027493
23	0.7886352407976757	0.790450805208314	0.44628426199778914
24	0.788693611448967	0.790534390846444	0.4461857476271689
25	0.7887472493319989	0.7905622527258205	0.44609624054282904
26	0.7887948263186908	0.790571540018946	0.4460144033655524
27	0.7888388566774392	0.790571540018946	0.4459391050040722
